second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,0.000,0,0
1,30,18,84.402,51.023,3,0
2,30,4,77.778,15.577,4,3
3,30,19,80.395,54.820,1,1
4,30,15,85.930,49.473,2,2
5,30,7,75.972,16.219,4,4
6,30,5,76.793,24.589,3,4
7,30,18,75.305,50.913,2,1
8,30,19,78.256,55.313,4,2
9,30,7,72.084,20.066,5,5
10,30,29,71.938,70.242,1,1
11,30,18,71.067,41.312,1,2
