sequence,frameType,bytes,encodeMs,latencyMs
90,Delta,2853,0.689,0.269
91,Keyframe,10210,0.676,0.305
92,Delta,1739,0.683,0.299
93,Delta,2475,0.770,0.199
94,Delta,2597,0.694,0.176
95,Delta,2251,0.704,0.179
96,Delta,2374,0.666,0.144
97,Delta,2947,0.734,0.225
98,Delta,2413,0.736,123.899
99,Delta,2423,0.847,93.602
100,Delta,2404,0.796,63.042
101,Delta,3048,0.686,31.615
102,Delta,2455,0.823,109.010
103,Delta,2665,0.770,62.709
104,Delta,2317,0.827,30.935
105,Delta,3087,0.785,0.674
106,Keyframe,10192,0.825,125.066
107,Delta,1624,0.728,94.353
108,Delta,2846,0.755,62.408
109,Delta,2198,0.704,32.539
110,Delta,2140,0.764,0.716
111,Delta,2348,0.875,0.210
112,Delta,2735,0.738,139.727
113,Delta,2258,0.972,108.424
114,Delta,2161,0.804,79.013
115,Delta,2045,0.652,47.473
116,Delta,2592,0.673,0.341
117,Delta,2519,0.733,0.190
118,Delta,2126,0.704,0.169
119,Delta,2163,0.713,0.202
120,Delta,3002,0.742,0.269
121,Keyframe,9848,0.613,0.301
122,Delta,1575,0.601,0.174
123,Delta,2408,0.667,0.191
124,Delta,1900,0.800,125.110
125,Delta,1480,0.672,171.523
126,Delta,2129,0.741,140.595
127,Delta,3054,0.674,109.547
128,Delta,1794,0.811,78.340
129,Delta,1812,0.826,31.059
130,Delta,1826,0.724,0.397
131,Delta,3071,0.873,0.351
132,Delta,1862,0.726,0.203
133,Delta,1993,0.726,0.186
134,Delta,1827,0.787,0.242
135,Delta,2427,0.697,0.207
136,Keyframe,9506,0.737,0.261
137,Delta,1380,0.740,0.178
138,Delta,2431,0.737,139.132
139,Delta,1837,0.707,108.076
140,Delta,1908,0.798,77.651
141,Delta,1888,0.759,46.547
142,Delta,2751,0.902,0.593
143,Delta,2124,0.640,0.185
144,Delta,2114,0.755,0.250
145,Delta,2186,0.668,0.184
146,Delta,2675,0.691,0.269
147,Delta,2038,0.737,107.959
148,Delta,1830,0.722,77.318
149,Delta,1722,0.765,30.089
150,Delta,2587,0.740,0.411
151,Keyframe,9660,0.800,0.877
152,Delta,1352,0.691,0.177
153,Delta,2467,0.685,0.165
154,Delta,1635,0.722,0.195
155,Delta,1671,0.669,0.235
156,Delta,2186,0.701,0.151
157,Delta,2994,0.750,0.172
158,Delta,1972,0.717,140.568
159,Delta,2004,0.762,109.703
160,Delta,1850,0.672,78.888
161,Delta,2817,0.790,47.473
162,Delta,1965,0.833,0.375
163,Delta,1975,0.776,0.197
164,Delta,1877,0.821,0.194
165,Delta,2888,0.817,0.305
166,Keyframe,9771,0.776,0.329
167,Delta,1381,0.711,107.204
168,Delta,2445,0.682,76.404
169,Delta,1922,0.905,30.634
170,Delta,1919,0.751,0.381
171,Delta,2066,0.790,0.178
172,Delta,2661,0.667,0.197
173,Delta,2132,0.733,0.167
174,Delta,1961,0.713,0.209
175,Delta,1968,0.741,0.161
176,Delta,2473,0.716,0.209
177,Delta,2028,0.762,0.176
178,Delta,1963,0.684,0.174
179,Delta,1968,0.685,0.220
180,Delta,2637,0.759,0.206
181,Keyframe,9688,0.745,0.312
182,Delta,1434,0.793,0.207
183,Delta,2561,0.820,0.216
184,Delta,1727,0.843,0.255
185,Delta,1677,0.855,140.217
186,Delta,1569,0.783,109.194
187,Delta,2329,0.748,78.002
188,Delta,2249,0.693,47.007
189,Delta,2120,0.707,0.419
190,Delta,2109,0.734,0.207
191,Delta,2449,0.740,0.191
192,Delta,1926,0.753,109.234
193,Delta,1713,0.754,77.754
194,Delta,2101,0.777,47.154
195,Delta,2496,0.723,125.770
196,Keyframe,10117,0.689,94.132
197,Delta,1487,0.618,63.494
198,Delta,2383,0.764,30.854
199,Delta,1776,0.610,0.438
200,Delta,1853,0.748,0.139
201,Delta,1733,0.596,0.198
202,Delta,2461,0.713,0.192
203,Delta,1799,0.669,0.209
204,Delta,1762,0.673,0.172
205,Delta,2127,0.647,0.184
206,Delta,2455,0.624,0.215
207,Delta,2180,0.739,0.220
208,Delta,1939,0.887,0.174
209,Delta,1859,0.680,0.243
210,Delta,2820,0.605,0.161
211,Keyframe,9901,0.562,0.286
212,Delta,1324,0.655,0.181
213,Delta,2267,0.687,0.191
214,Delta,1817,0.834,0.237
215,Delta,1811,0.752,0.202
216,Delta,2418,0.750,0.223
217,Delta,2588,0.655,125.089
218,Delta,2539,0.716,93.140
219,Delta,2346,0.748,62.124
220,Delta,2201,0.836,30.832
221,Delta,2502,0.663,0.403
222,Delta,2097,0.782,0.201
223,Delta,2441,0.726,0.197
224,Delta,1837,0.789,0.266
225,Delta,2322,1.099,0.288
226,Keyframe,9660,0.745,0.281
227,Delta,1475,0.707,0.163
228,Delta,2580,0.785,123.088
229,Delta,2012,0.757,93.463
230,Delta,1986,0.730,62.188
231,Delta,2171,0.733,31.797
232,Delta,2777,0.716,0.378
233,Delta,2308,0.810,0.243
234,Delta,2460,1.131,0.225
235,Delta,2294,0.750,0.204
236,Delta,2458,0.662,126.214
237,Delta,1803,0.687,94.717
238,Delta,2289,0.767,62.545
239,Delta,2039,0.834,31.076
240,Delta,2204,0.764,0.497
241,Keyframe,9108,0.852,0.371
242,Delta,1365,0.889,0.186
243,Delta,2243,0.807,0.358
244,Delta,1747,1.008,0.204
245,Delta,1633,0.713,0.212
246,Delta,2145,0.674,0.161
247,Delta,2307,0.761,0.247
248,Delta,2035,0.751,0.238
249,Delta,1895,0.789,0.196
250,Delta,1722,0.788,0.199
251,Delta,2309,0.814,0.207
252,Delta,2102,0.728,0.203
253,Delta,1984,0.759,0.157
254,Delta,1970,0.909,0.199
255,Delta,2626,0.875,0.214
256,Keyframe,8975,0.750,0.267
257,Delta,1717,0.777,1.006
258,Delta,2364,0.679,0.180
259,Delta,1792,0.905,106.217
260,Delta,1856,0.752,75.595
261,Delta,1797,0.694,29.874
262,Delta,2477,0.625,0.385
263,Delta,1886,0.660,0.188
264,Delta,1912,0.831,0.221
265,Delta,1950,0.940,0.232
266,Delta,2344,0.957,0.206
267,Delta,1895,0.816,0.238
268,Delta,1785,0.622,0.190
269,Delta,1906,0.715,0.189
270,Delta,2203,0.772,0.218
271,Keyframe,8872,0.825,140.765
272,Delta,1769,0.779,110.673
273,Delta,2297,0.788,268.452
274,Delta,1728,0.692,236.741
275,Delta,1711,0.756,189.833
276,Delta,2062,0.670,157.950
277,Delta,2598,0.698,126.073
278,Delta,1912,0.784,93.686
279,Delta,1932,0.791,63.897
280,Delta,1943,0.978,31.648
281,Delta,2569,0.853,0.695
282,Delta,1969,0.698,0.246
283,Delta,1994,0.792,0.187
284,Delta,1957,0.885,0.256
285,Delta,2440,0.860,0.179
286,Keyframe,9091,0.886,125.544
287,Delta,1540,0.893,170.483
288,Delta,2070,0.752,140.113
289,Delta,1729,0.799,108.266
290,Delta,1723,0.834,77.296
291,Delta,1925,0.877,30.118
292,Delta,2249,0.841,0.386
293,Delta,1923,0.758,0.181
294,Delta,1878,0.685,0.204
295,Delta,1979,0.893,0.527
296,Delta,2301,0.689,0.182
297,Delta,1837,1.300,0.246
298,Delta,1858,0.870,0.224
299,Delta,1804,0.834,0.182
300,Delta,2167,0.817,
