sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,7.966,
2,Delta,1928,1.185,2.792
3,Delta,2537,0.834,1.193
4,Delta,2532,0.803,0.730
5,Delta,2315,0.673,0.647
6,Delta,2325,0.670,0.204
7,Delta,3291,0.722,0.209
8,Delta,2466,0.654,0.328
9,Delta,2523,0.726,0.290
10,Delta,2407,1.028,0.230
11,Delta,3125,0.790,0.358
12,Delta,2460,1.203,0.631
13,Delta,2471,0.850,0.269
14,Delta,2397,0.815,0.404
15,Delta,3043,1.077,0.301
16,Keyframe,10565,0.822,0.389
17,Delta,1572,0.733,0.269
18,Delta,2077,0.826,0.231
19,Delta,2214,0.764,0.706
20,Delta,2034,0.849,126.726
21,Delta,1989,0.707,96.150
22,Delta,2566,0.792,63.890
23,Delta,2094,0.883,32.772
24,Delta,2358,0.762,2.578
25,Delta,2332,0.809,0.244
26,Delta,2414,0.830,0.200
27,Delta,2205,0.867,0.243
28,Delta,2144,0.706,0.262
29,Delta,2016,0.766,0.336
30,Delta,2573,0.936,125.596
31,Keyframe,9455,1.040,173.162
32,Delta,1488,1.143,141.722
33,Delta,2418,0.814,109.964
34,Delta,1951,0.780,79.358
35,Delta,1799,0.741,47.375
36,Delta,2062,0.719,0.678
37,Delta,2477,0.820,0.184
38,Delta,2008,0.807,0.228
39,Delta,1815,0.886,0.462
40,Delta,1814,0.894,110.334
41,Delta,2462,0.789,78.802
42,Delta,2004,0.882,48.532
43,Delta,2091,0.722,0.468
44,Delta,1929,0.743,0.214
45,Delta,2523,0.890,0.199
46,Keyframe,9777,0.808,0.465
47,Delta,1623,0.709,0.182
48,Delta,2186,0.738,0.176
49,Delta,2365,0.771,0.200
50,Delta,2120,0.865,0.192
51,Delta,2305,0.838,0.182
52,Delta,2678,0.631,0.170
53,Delta,2159,0.708,0.184
54,Delta,2085,0.802,0.254
55,Delta,2048,0.763,0.207
56,Delta,2571,0.721,110.343
57,Delta,2259,0.699,64.290
58,Delta,2171,0.755,32.596
59,Delta,2224,0.763,124.885
60,Delta,2725,0.902,93.030
61,Keyframe,9508,0.829,62.871
62,Delta,1625,0.706,31.910
63,Delta,2166,0.775,0.639
64,Delta,2267,1.233,0.225
65,Delta,2063,0.778,0.180
66,Delta,2079,0.825,124.869
67,Delta,2561,0.874,94.068
68,Delta,1931,0.776,62.763
69,Delta,2192,0.838,31.412
70,Delta,2226,0.803,0.426
71,Delta,2713,0.752,0.196
72,Delta,1939,0.759,0.167
73,Delta,2357,0.798,0.303
74,Delta,2216,0.883,0.249
75,Delta,2614,0.804,109.105
76,Keyframe,10128,0.799,140.642
77,Delta,1448,0.716,109.478
78,Delta,2317,0.634,63.377
79,Delta,2116,0.624,32.558
80,Delta,1997,0.965,1.017
81,Delta,2011,0.765,0.740
82,Delta,2677,0.680,0.201
83,Delta,1975,0.781,0.191
84,Delta,2204,0.749,0.484
85,Delta,2182,0.689,0.202
86,Delta,2781,0.652,0.192
87,Delta,2031,0.710,0.195
88,Delta,2062,0.688,0.198
89,Delta,2383,0.585,0.211
