metric,value
elapsedSeconds,10.003
sentFrames,300
deliveredFrames,298
deliveredPercent,99.333
decodableFrames,284
decodablePercent,94.667
fpsSent,29.992
fpsDelivered,29.792
kbSentTotal,782.090
kbDeliveredTotal,768.230
goodputKbPerSec,76.802
avgFrameKb,2.607
droppedDatagrams,42
nackCount,32
pliCount,0
retransmittedFrames,32
latencyAvgMs,32.757
latencyP50Ms,0.328
latencyP95Ms,139.727
latencyP99Ms,189.833
latencyMaxMs,268.452
encodeAvgMs,0.797
encodeMaxMs,7.966
outOfOrderCount,0
maxGapMs,189.324
