sequence,frameType,bytes,encodeMs,latencyMs
186,Delta,1569,0.584,0.263
187,Delta,2329,0.644,0.144
188,Delta,2249,0.808,0.244
189,Delta,2120,0.645,0.142
190,Delta,2109,0.655,0.151
191,Delta,2449,0.654,0.188
192,Delta,1926,0.620,0.142
193,Delta,1713,0.622,0.152
194,Delta,2101,0.634,0.147
195,Delta,2496,0.665,0.155
196,Keyframe,10117,0.738,0.231
197,Delta,1487,0.544,0.157
198,Delta,2383,0.650,0.141
199,Delta,1776,0.556,0.141
200,Delta,1853,0.613,0.133
201,Delta,1733,0.629,0.178
202,Delta,2461,0.574,0.140
203,Delta,1799,0.557,0.158
204,Delta,1762,0.603,0.144
205,Delta,2127,0.564,0.149
206,Delta,2455,0.574,0.174
207,Delta,2180,0.637,0.150
208,Delta,1939,0.596,0.152
209,Delta,1859,0.643,0.167
210,Delta,2820,0.553,0.148
211,Keyframe,9901,0.698,0.250
212,Delta,1324,0.526,0.165
213,Delta,2267,0.601,0.126
214,Delta,1817,0.618,0.141
215,Delta,1811,0.583,0.203
216,Delta,2418,0.573,0.147
217,Delta,2588,0.594,0.163
218,Delta,2539,0.619,0.139
219,Delta,2346,0.789,0.174
220,Delta,2201,0.631,0.138
221,Delta,2502,0.588,0.190
222,Delta,2097,0.690,0.165
223,Delta,2441,0.783,0.150
224,Delta,1837,0.587,0.148
225,Delta,2322,0.661,0.384
226,Keyframe,9660,0.613,0.263
227,Delta,1475,0.629,0.198
228,Delta,2580,0.667,0.152
229,Delta,2012,0.700,0.349
230,Delta,1986,0.632,0.174
231,Delta,2171,0.881,0.282
232,Delta,2777,0.865,0.142
233,Delta,2308,0.616,0.213
234,Delta,2460,0.563,0.142
235,Delta,2294,0.790,0.228
236,Delta,2458,0.577,0.250
237,Delta,1803,0.543,0.147
238,Delta,2289,0.706,0.314
239,Delta,2039,0.838,0.206
240,Delta,2204,0.590,0.146
241,Keyframe,9108,1.149,0.286
242,Delta,1365,0.699,0.154
243,Delta,2243,0.727,0.348
244,Delta,1747,0.621,0.143
245,Delta,1633,0.576,0.154
246,Delta,2145,0.628,0.152
247,Delta,2307,0.620,0.155
248,Delta,2035,0.614,0.151
249,Delta,1895,0.621,0.135
250,Delta,1722,0.627,0.142
251,Delta,2309,0.556,0.187
252,Delta,2102,0.584,0.173
253,Delta,1984,0.607,0.151
254,Delta,1970,0.614,0.164
255,Delta,2626,0.636,0.159
256,Keyframe,8975,0.698,0.246
257,Delta,1717,0.653,0.747
258,Delta,2364,0.562,0.160
259,Delta,1792,0.642,0.471
260,Delta,1856,0.523,0.143
261,Delta,1797,0.621,0.299
262,Delta,2477,0.620,0.151
263,Delta,1886,0.653,0.188
264,Delta,1912,0.670,0.135
265,Delta,1950,0.672,0.149
266,Delta,2344,0.564,0.131
267,Delta,1895,0.614,0.160
268,Delta,1785,0.582,0.148
269,Delta,1906,0.603,0.152
270,Delta,2203,0.590,0.141
271,Keyframe,8872,0.646,0.212
272,Delta,1769,0.548,0.358
273,Delta,2297,0.606,0.269
274,Delta,1728,0.594,0.143
275,Delta,1711,0.558,0.149
276,Delta,2062,0.609,0.146
277,Delta,2598,0.631,0.240
278,Delta,1912,0.609,0.225
279,Delta,1932,0.589,0.137
280,Delta,1943,0.725,0.159
281,Delta,2569,0.640,0.152
282,Delta,1969,0.560,0.129
283,Delta,1994,0.707,0.161
284,Delta,1957,0.638,0.155
285,Delta,2440,0.703,0.413
286,Keyframe,9091,0.719,0.421
287,Delta,1540,0.696,0.168
288,Delta,2070,0.769,0.167
289,Delta,1729,0.608,0.161
290,Delta,1723,0.657,0.141
291,Delta,1925,0.583,0.305
292,Delta,2249,0.664,0.156
293,Delta,1923,0.710,0.288
294,Delta,1878,0.578,0.143
295,Delta,1979,0.637,0.151
296,Delta,2301,0.628,0.171
297,Delta,1837,0.545,0.262
298,Delta,1858,0.581,0.147
299,Delta,1804,0.585,0.152
300,Delta,2167,0.687,0.127
