sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,1.372,
2,Delta,1928,0.910,66.942
3,Delta,2537,0.577,71.320
4,Delta,2532,0.613,66.228
5,Delta,2315,0.657,297.445
6,Delta,2325,0.533,267.328
7,Delta,3291,0.643,233.948
8,Delta,2466,0.669,
9,Delta,2523,0.780,
10,Delta,2407,0.623,
11,Delta,3125,0.572,
12,Delta,2460,0.557,
13,Delta,2471,0.608,
14,Delta,2397,0.572,
15,Delta,3043,0.599,
16,Keyframe,10565,0.596,136.314
17,Delta,1572,0.581,100.749
18,Delta,2077,0.617,70.261
19,Delta,2214,0.653,69.623
20,Delta,2034,0.612,66.323
21,Delta,1989,0.602,330.180
22,Delta,2566,0.587,461.549
23,Delta,2094,0.615,428.452
24,Delta,2358,0.666,394.392
25,Delta,2332,0.618,359.933
26,Delta,2414,0.665,329.008
27,Delta,2205,0.636,294.193
28,Delta,2144,0.801,262.055
29,Delta,2016,0.583,226.689
30,Delta,2573,0.665,195.467
31,Keyframe,9455,0.708,162.123
32,Delta,1488,0.611,128.471
33,Delta,2418,0.642,92.784
34,Delta,1951,0.765,61.131
35,Delta,1799,0.750,70.563
36,Delta,2062,0.599,66.167
37,Delta,2477,0.609,63.937
38,Delta,2008,0.640,51.093
39,Delta,1815,0.611,57.204
40,Delta,1814,0.638,67.004
41,Delta,2462,0.591,65.096
42,Delta,2004,0.578,67.834
43,Delta,2091,0.667,68.894
44,Delta,1929,0.624,52.313
45,Delta,2523,0.658,58.300
46,Keyframe,9777,0.687,66.520
47,Delta,1623,0.616,69.517
48,Delta,2186,0.613,65.948
49,Delta,2365,0.611,64.882
50,Delta,2120,0.644,299.349
51,Delta,2305,0.599,265.372
52,Delta,2678,0.659,231.421
53,Delta,2159,0.627,195.090
54,Delta,2085,0.645,164.752
55,Delta,2048,0.646,131.258
56,Delta,2571,0.632,99.009
57,Delta,2259,0.668,296.456
58,Delta,2171,0.618,266.379
59,Delta,2224,0.651,232.429
60,Delta,2725,0.712,199.118
61,Keyframe,9508,0.593,332.298
62,Delta,1625,0.660,301.708
63,Delta,2166,0.682,266.986
64,Delta,2267,0.760,234.023
65,Delta,2063,0.589,198.021
66,Delta,2079,0.704,168.109
67,Delta,2561,0.693,133.224
68,Delta,1931,0.657,100.103
69,Delta,2192,0.636,64.127
70,Delta,2226,0.635,67.147
71,Delta,2713,0.623,70.392
72,Delta,1939,0.631,53.703
73,Delta,2357,0.705,57.265
74,Delta,2216,0.784,66.872
75,Delta,2614,0.733,69.263
76,Keyframe,10128,0.678,66.882
77,Delta,1448,0.594,64.091
78,Delta,2317,0.612,57.449
79,Delta,2116,0.646,63.477
80,Delta,1997,0.573,66.449
81,Delta,2011,0.585,62.817
82,Delta,2677,0.588,329.005
83,Delta,1975,0.599,294.905
84,Delta,2204,0.641,261.868
85,Delta,2182,0.556,225.351
86,Delta,2781,0.625,195.907
87,Delta,2031,0.614,160.961
88,Delta,2062,0.567,128.205
89,Delta,2383,0.601,91.843
90,Delta,2853,0.600,61.624
91,Keyframe,10210,0.611,72.120
92,Delta,1739,0.641,67.461
93,Delta,2475,0.621,324.924
94,Delta,2597,0.674,295.274
95,Delta,2251,0.669,262.773
96,Delta,2374,0.615,229.053
97,Delta,2947,0.654,193.589
98,Delta,2413,0.606,162.129
99,Delta,2423,0.653,128.560
100,Delta,2404,0.662,96.566
101,Delta,3048,0.543,59.287
102,Delta,2455,0.648,65.805
103,Delta,2665,0.679,70.173
104,Delta,2317,0.678,67.081
105,Delta,3087,0.661,64.470
106,Keyframe,10192,0.648,300.843
107,Delta,1624,0.625,266.420
108,Delta,2846,0.575,232.948
109,Delta,2198,0.609,198.839
110,Delta,2140,0.627,166.892
111,Delta,2348,0.586,133.130
112,Delta,2735,0.627,100.767
113,Delta,2258,0.611,64.492
114,Delta,2161,0.612,68.536
115,Delta,2045,0.622,69.692
116,Delta,2592,0.665,65.926
117,Delta,2519,0.690,53.062
118,Delta,2126,0.592,64.328
119,Delta,2163,0.621,69.936
120,Delta,3002,0.657,66.785
121,Keyframe,9848,0.869,63.472
122,Delta,1575,0.552,52.638
123,Delta,2408,0.596,60.584
124,Delta,1900,0.671,67.143
125,Delta,1480,0.605,63.458
126,Delta,2129,0.594,66.241
127,Delta,3054,0.591,332.490
128,Delta,1794,0.556,299.497
129,Delta,1812,0.634,261.396
130,Delta,1826,0.578,232.248
131,Delta,3071,0.612,198.836
132,Delta,1862,0.581,328.580
133,Delta,1993,0.559,292.629
134,Delta,1827,0.566,262.148
135,Delta,2427,0.558,226.983
