second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,0.000,0,0
1,30,11,84.402,32.607,4,0
2,30,36,77.778,90.727,2,0
3,31,34,82.093,88.868,3,0
4,29,28,84.231,81.239,2,0
5,30,20,75.972,56.141,4,0
6,30,36,76.793,89.093,5,0
7,30,23,75.305,61.207,5,0
8,30,27,78.256,63.647,4,0
9,31,15,73.812,50.353,5,0
10,29,21,70.210,53.938,3,0
