metric,value
elapsedSeconds,10.033
sentFrames,301
deliveredFrames,251
deliveredPercent,83.389
decodableFrames,245
decodablePercent,81.395
fpsSent,30.001
fpsDelivered,25.017
kbSentTotal,790.595
kbDeliveredTotal,667.819
goodputKbPerSec,66.562
avgFrameKb,2.627
droppedDatagrams,0
nackCount,38
pliCount,0
retransmittedFrames,60
latencyAvgMs,185.568
latencyP50Ms,162.129
latencyP95Ms,400.746
latencyP99Ms,604.165
latencyMaxMs,733.746
encodeAvgMs,0.653
encodeMaxMs,1.372
outOfOrderCount,0
maxGapMs,306.173
repairRttMeasuredMs,136.325
