second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,11.743,0,0
1,30,31,84.402,84.402,0,0
2,30,30,77.778,77.778,0,0
3,30,30,80.395,80.395,0,0
4,30,29,85.930,76.312,0,0
5,30,31,75.972,85.589,0,0
6,28,27,64.757,62.835,0,0
7,30,31,74.918,76.840,0,0
8,30,30,79.632,79.632,0,0
9,30,30,72.315,72.315,0,0
