second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,0.000,0,0
1,30,10,84.402,38.568,5,1
2,30,10,77.778,28.936,7,1
3,30,11,80.395,30.557,4,1
4,30,20,85.930,62.896,2,0
5,30,12,75.972,38.838,5,1
6,30,2,76.793,11.568,6,1
7,30,9,75.305,24.760,3,3
8,30,1,78.256,9.880,3,3
9,30,25,72.084,69.337,1,1
