sequence,frameType,bytes,encodeMs,latencyMs
209,Delta,1859,0.568,
210,Delta,2820,0.643,
211,Keyframe,9901,0.615,1159.376
212,Delta,1324,0.710,1125.956
213,Delta,2267,0.581,1097.711
214,Delta,1817,0.628,1067.511
215,Delta,1811,0.642,
216,Delta,2418,0.785,
217,Delta,2588,0.693,
218,Delta,2539,1.014,
219,Delta,2346,0.823,
220,Delta,2201,0.788,
221,Delta,2502,1.175,
222,Delta,2097,0.618,
223,Delta,2441,0.745,
224,Delta,1837,0.725,
225,Delta,2322,0.753,
226,Keyframe,9660,0.672,
227,Delta,1475,0.571,
228,Delta,2580,0.613,
229,Delta,2012,0.706,
230,Delta,1986,0.644,
231,Delta,2171,1.549,
232,Delta,2777,0.935,
233,Delta,2308,0.604,
234,Delta,2460,0.842,
235,Delta,2294,0.880,
236,Delta,2458,0.564,
237,Delta,1803,0.709,
238,Delta,2289,0.888,
239,Delta,2039,0.647,
240,Delta,2204,0.611,
241,Keyframe,9108,0.845,361.669
242,Delta,1365,0.783,330.612
243,Delta,2243,0.715,298.774
244,Delta,1747,0.636,263.646
245,Delta,1633,0.948,235.116
246,Delta,2145,0.719,203.657
247,Delta,2307,0.641,203.262
248,Delta,2035,0.569,201.443
249,Delta,1895,0.583,211.176
250,Delta,1722,0.945,220.548
251,Delta,2309,0.737,205.418
252,Delta,2102,0.568,202.770
253,Delta,1984,0.585,204.725
254,Delta,1970,0.782,207.709
255,Delta,2626,0.919,203.773
256,Keyframe,8975,0.579,231.027
257,Delta,1717,0.665,228.876
258,Delta,2364,0.635,206.294
259,Delta,1792,0.875,203.655
260,Delta,1856,0.711,213.565
261,Delta,1797,0.749,202.894
262,Delta,2477,0.808,
263,Delta,1886,1.097,
264,Delta,1912,0.634,
265,Delta,1950,0.785,
266,Delta,2344,0.674,
267,Delta,1895,1.019,
268,Delta,1785,0.596,
269,Delta,1906,0.706,
270,Delta,2203,0.787,
271,Keyframe,8872,0.647,201.361
272,Delta,1769,0.624,213.328
273,Delta,2297,0.666,203.286
274,Delta,1728,0.748,
275,Delta,1711,0.771,
276,Delta,2062,0.670,
277,Delta,2598,0.780,
278,Delta,1912,0.789,
279,Delta,1932,0.861,
280,Delta,1943,0.684,
281,Delta,2569,1.048,
282,Delta,1969,1.019,
283,Delta,1994,0.695,
284,Delta,1957,0.754,
285,Delta,2440,0.758,
286,Keyframe,9091,0.713,206.716
287,Delta,1540,0.589,201.355
288,Delta,2070,0.707,
289,Delta,1729,0.784,
290,Delta,1723,0.694,
291,Delta,1925,0.614,
292,Delta,2249,0.618,
293,Delta,1923,0.742,
294,Delta,1878,0.663,
295,Delta,1979,0.753,
296,Delta,2301,0.706,
297,Delta,1837,0.808,
298,Delta,1858,0.719,
299,Delta,1804,1.021,
300,Delta,2167,0.627,
