metric,value
elapsedSeconds,10.012
sentFrames,300
deliveredFrames,105
deliveredPercent,35.000
decodableFrames,105
decodablePercent,35.000
fpsSent,29.965
fpsDelivered,10.488
kbSentTotal,782.090
kbDeliveredTotal,338.355
goodputKbPerSec,33.796
avgFrameKb,2.607
droppedDatagrams,0
nackCount,41
pliCount,17
retransmittedFrames,149
latencyAvgMs,261.746
latencyP50Ms,207.526
latencyP95Ms,800.259
latencyP99Ms,1125.956
latencyMaxMs,1159.376
encodeAvgMs,0.745
encodeMaxMs,1.787
outOfOrderCount,0
maxGapMs,849.403
repairRttMeasuredMs,379.619
