second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,0.000,0,0
1,30,28,84.402,73.183,0,0
2,30,25,77.778,53.948,0,0
3,30,25,80.395,61.213,0,0
4,30,27,85.930,79.187,0,0
5,30,26,75.972,60.556,0,0
6,30,27,76.793,70.790,0,0
7,30,28,75.305,63.755,0,0
8,30,27,78.256,64.521,0,0
9,30,27,72.084,67.562,0,0
