sequence,frameType,bytes,encodeMs,latencyMs
190,Delta,2109,1.170,0.085
191,Delta,2449,0.967,0.117
192,Delta,1926,1.054,
193,Delta,1713,0.891,0.101
194,Delta,2101,1.067,0.093
195,Delta,2496,0.905,0.119
196,Keyframe,10117,1.935,0.247
197,Delta,1487,1.288,0.110
198,Delta,2383,0.880,0.093
199,Delta,1776,1.039,0.092
200,Delta,1853,1.166,0.085
201,Delta,1733,1.187,0.105
202,Delta,2461,1.298,0.112
203,Delta,1799,0.923,0.082
204,Delta,1762,1.012,0.101
205,Delta,2127,1.071,0.150
206,Delta,2455,2.437,0.117
207,Delta,2180,1.037,0.177
208,Delta,1939,1.041,0.092
209,Delta,1859,0.987,0.100
210,Delta,2820,1.039,0.146
211,Keyframe,9901,1.275,
212,Delta,1324,1.725,0.108
213,Delta,2267,2.198,0.116
214,Delta,1817,1.079,0.095
215,Delta,1811,0.948,0.086
216,Delta,2418,0.982,
217,Delta,2588,0.910,0.146
218,Delta,2539,1.051,
219,Delta,2346,0.998,0.118
220,Delta,2201,1.329,0.100
221,Delta,2502,1.201,0.142
222,Delta,2097,0.960,0.125
223,Delta,2441,0.978,0.117
224,Delta,1837,1.014,0.119
225,Delta,2322,0.999,0.128
226,Keyframe,9660,1.052,0.265
227,Delta,1475,1.133,0.098
228,Delta,2580,1.183,0.130
229,Delta,2012,1.078,0.101
230,Delta,1986,1.152,0.100
231,Delta,2171,1.358,0.086
232,Delta,2777,1.393,0.129
233,Delta,2308,1.295,0.180
234,Delta,2460,1.557,0.185
235,Delta,2294,1.093,0.171
236,Delta,2458,2.114,0.144
237,Delta,1803,1.512,0.107
238,Delta,2289,1.218,0.101
239,Delta,2039,1.269,0.119
240,Delta,2204,1.311,0.112
241,Keyframe,9108,1.196,0.338
242,Delta,1365,1.117,
243,Delta,2243,1.238,0.100
244,Delta,1747,1.385,0.127
245,Delta,1633,1.941,0.121
246,Delta,2145,1.185,0.123
247,Delta,2307,1.073,0.128
248,Delta,2035,1.123,0.094
249,Delta,1895,1.216,0.137
250,Delta,1722,1.323,0.114
251,Delta,2309,1.234,0.099
252,Delta,2102,1.616,0.124
