second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,0.000,0,0
1,30,18,84.402,51.023,0,0
2,30,0,77.778,0.000,0,1
3,30,6,80.395,19.548,0,1
4,30,17,85.930,55.880,0,3
5,30,8,75.972,23.267,0,3
6,30,24,76.793,63.707,1,5
7,30,15,75.305,37.843,1,6
8,30,15,78.256,39.566,1,7
9,31,1,73.812,8.664,1,8
10,29,18,70.210,42.296,1,8
