metric,value
elapsedSeconds,10.033
sentFrames,301
deliveredFrames,122
deliveredPercent,40.532
decodableFrames,108
decodablePercent,35.880
fpsSent,30.002
fpsDelivered,12.160
kbSentTotal,790.595
kbDeliveredTotal,341.794
goodputKbPerSec,34.068
avgFrameKb,2.627
droppedDatagrams,34
nackCount,1
pliCount,8
retransmittedFrames,1
latencyAvgMs,14.183
latencyP50Ms,0.186
latencyP95Ms,100.947
latencyP99Ms,166.597
latencyMaxMs,200.229
encodeAvgMs,0.700
encodeMaxMs,16.317
outOfOrderCount,0
maxGapMs,1927.716
