sequence,frameType,bytes,encodeMs,latencyMs
186,Delta,1569,0.700,0.202
187,Delta,2329,0.711,0.145
188,Delta,2249,0.705,0.162
189,Delta,2120,0.636,0.169
190,Delta,2109,0.676,0.178
191,Delta,2449,0.633,0.157
192,Delta,1926,0.703,0.152
193,Delta,1713,0.780,0.193
194,Delta,2101,0.701,0.264
195,Delta,2496,0.811,0.183
196,Keyframe,10117,0.815,0.367
197,Delta,1487,0.739,0.245
198,Delta,2383,0.870,0.195
199,Delta,1776,0.732,0.231
200,Delta,1853,0.966,0.192
201,Delta,1733,0.705,0.531
202,Delta,2461,0.562,0.155
203,Delta,1799,0.697,0.281
204,Delta,1762,0.823,0.158
205,Delta,2127,0.740,0.364
206,Delta,2455,0.545,0.173
207,Delta,2180,0.745,0.161
208,Delta,1939,0.702,0.226
209,Delta,1859,0.791,0.173
210,Delta,2820,0.796,0.202
211,Keyframe,9901,0.717,0.389
212,Delta,1324,0.546,0.143
213,Delta,2267,0.579,0.152
214,Delta,1817,0.862,0.291
215,Delta,1811,0.758,0.385
216,Delta,2418,0.775,0.422
217,Delta,2588,0.752,0.724
218,Delta,2539,0.701,0.206
219,Delta,2346,0.589,0.158
220,Delta,2201,0.773,0.156
221,Delta,2502,0.775,0.160
222,Delta,2097,0.801,0.217
223,Delta,2441,0.801,0.209
224,Delta,1837,0.758,0.183
225,Delta,2322,0.839,0.268
226,Keyframe,9660,0.818,0.322
227,Delta,1475,0.692,0.448
228,Delta,2580,0.704,0.316
229,Delta,2012,0.635,0.266
230,Delta,1986,0.894,1.022
231,Delta,2171,0.767,0.203
232,Delta,2777,0.609,0.152
233,Delta,2308,0.915,0.238
234,Delta,2460,0.787,0.401
235,Delta,2294,0.566,0.272
236,Delta,2458,0.620,0.156
237,Delta,1803,0.579,0.152
238,Delta,2289,0.633,0.206
239,Delta,2039,0.791,0.237
240,Delta,2204,0.613,0.351
241,Keyframe,9108,0.839,0.351
242,Delta,1365,0.601,0.264
243,Delta,2243,0.819,0.173
244,Delta,1747,1.073,0.254
245,Delta,1633,0.693,0.595
246,Delta,2145,0.764,0.294
247,Delta,2307,0.762,0.395
248,Delta,2035,0.873,0.179
249,Delta,1895,0.595,0.186
250,Delta,1722,0.570,0.161
251,Delta,2309,0.668,0.249
252,Delta,2102,0.715,0.232
253,Delta,1984,0.582,0.372
254,Delta,1970,0.710,0.283
255,Delta,2626,0.587,0.209
256,Keyframe,8975,0.676,0.471
257,Delta,1717,0.727,1.045
258,Delta,2364,0.659,0.260
259,Delta,1792,0.718,0.189
260,Delta,1856,0.577,0.153
