sequence,frameType,bytes,encodeMs,latencyMs
186,Delta,1569,1.286,0.111
187,Delta,2329,1.161,0.132
188,Delta,2249,1.409,0.102
189,Delta,2120,1.420,0.152
190,Delta,2109,1.122,0.115
191,Delta,2449,0.996,0.151
192,Delta,1926,1.121,0.123
193,Delta,1713,0.945,0.144
194,Delta,2101,1.315,0.145
195,Delta,2496,1.117,0.160
196,Keyframe,10117,1.063,0.259
197,Delta,1487,1.044,0.134
198,Delta,2383,0.968,0.099
199,Delta,1776,0.876,0.095
200,Delta,1853,1.073,0.086
201,Delta,1733,1.282,0.121
202,Delta,2461,0.987,0.136
203,Delta,1799,1.437,0.161
204,Delta,1762,1.865,0.122
205,Delta,2127,1.141,0.151
206,Delta,2455,1.207,0.156
207,Delta,2180,1.069,0.103
208,Delta,1939,1.356,0.196
209,Delta,1859,1.278,0.106
210,Delta,2820,1.418,0.140
211,Keyframe,9901,1.169,141.924
212,Delta,1324,1.364,109.979
213,Delta,2267,1.056,77.759
214,Delta,1817,1.427,46.029
215,Delta,1811,1.237,0.270
216,Delta,2418,1.582,0.112
217,Delta,2588,1.180,0.167
218,Delta,2539,1.273,0.167
219,Delta,2346,1.007,142.908
220,Delta,2201,1.192,111.545
221,Delta,2502,1.353,78.337
222,Delta,2097,1.439,47.141
223,Delta,2441,1.180,0.264
224,Delta,1837,1.172,0.106
225,Delta,2322,1.476,0.107
226,Keyframe,9660,1.319,126.081
227,Delta,1475,1.178,93.729
228,Delta,2580,1.201,62.278
229,Delta,2012,1.328,30.704
230,Delta,1986,1.127,0.341
231,Delta,2171,1.063,0.133
232,Delta,2777,1.048,0.113
233,Delta,2308,1.251,0.144
234,Delta,2460,1.273,0.118
235,Delta,2294,1.154,0.115
236,Delta,2458,1.007,0.137
237,Delta,1803,1.147,0.102
238,Delta,2289,1.075,0.121
239,Delta,2039,0.922,0.102
240,Delta,2204,1.094,0.168
241,Keyframe,9108,1.093,0.288
242,Delta,1365,1.074,0.084
243,Delta,2243,1.158,0.086
244,Delta,1747,1.198,0.126
245,Delta,1633,0.981,0.125
246,Delta,2145,1.069,0.122
247,Delta,2307,0.930,139.161
248,Delta,2035,0.980,108.972
249,Delta,1895,1.342,77.410
250,Delta,1722,1.124,46.880
251,Delta,2309,0.947,0.224
252,Delta,2102,1.029,0.102
253,Delta,1984,1.101,0.124
