sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,1.312,
2,Delta,1928,1.027,
3,Delta,2537,0.752,106.225
4,Delta,2532,0.609,106.969
5,Delta,2315,0.860,102.964
6,Delta,2325,0.636,101.064
7,Delta,3291,0.859,132.216
8,Delta,2466,0.709,133.358
9,Delta,2523,0.634,103.365
10,Delta,2407,0.629,116.016
11,Delta,3125,0.587,100.829
12,Delta,2460,0.640,127.098
13,Delta,2471,0.588,103.570
14,Delta,2397,0.575,
15,Delta,3043,0.589,
16,Keyframe,10565,0.646,237.561
17,Delta,1572,0.604,207.028
18,Delta,2077,0.636,173.811
19,Delta,2214,0.648,424.067
20,Delta,2034,0.662,388.077
21,Delta,1989,0.678,357.898
22,Delta,2566,0.725,323.845
23,Delta,2094,0.643,291.364
24,Delta,2358,0.675,
25,Delta,2332,0.614,
26,Delta,2414,0.613,
27,Delta,2205,0.631,
28,Delta,2144,0.607,
29,Delta,2016,0.664,
30,Delta,2573,0.675,
31,Keyframe,9455,0.594,227.649
32,Delta,1488,0.561,191.328
33,Delta,2418,0.632,161.464
34,Delta,1951,0.698,127.822
35,Delta,1799,0.636,133.815
36,Delta,2062,0.594,135.899
37,Delta,2477,0.657,105.600
38,Delta,2008,0.618,117.240
39,Delta,1815,0.590,408.723
40,Delta,1814,0.673,370.909
41,Delta,2462,0.711,341.802
42,Delta,2004,0.707,308.096
43,Delta,2091,0.631,274.536
44,Delta,1929,0.610,238.179
45,Delta,2523,0.722,502.604
46,Keyframe,9777,0.742,
47,Delta,1623,0.593,
48,Delta,2186,0.752,
49,Delta,2365,0.733,
50,Delta,2120,0.721,
51,Delta,2305,0.693,
52,Delta,2678,0.769,
53,Delta,2159,0.734,
54,Delta,2085,0.667,
55,Delta,2048,0.592,
56,Delta,2571,0.705,
57,Delta,2259,0.621,
58,Delta,2171,0.598,
59,Delta,2224,0.640,
60,Delta,2725,0.946,
61,Keyframe,9508,0.767,102.403
62,Delta,1625,0.632,129.313
63,Delta,2166,0.698,133.791
64,Delta,2267,1.333,102.034
65,Delta,2063,0.757,103.167
66,Delta,2079,0.668,118.022
67,Delta,2561,0.676,125.163
68,Delta,1931,0.795,134.764
69,Delta,2192,0.638,104.097
70,Delta,2226,0.689,107.635
71,Delta,2713,0.657,114.550
72,Delta,1939,0.597,118.564
73,Delta,2357,0.590,107.851
74,Delta,2216,0.581,101.678
75,Delta,2614,0.569,103.988
76,Keyframe,10128,0.896,104.109
77,Delta,1448,0.858,108.641
78,Delta,2317,0.794,115.365
79,Delta,2116,1.049,125.925
80,Delta,1997,0.749,131.080
81,Delta,2011,1.468,
82,Delta,2677,0.609,
83,Delta,1975,0.613,
