second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,0.000,0,0
1,30,14,84.402,41.666,7,0
2,30,20,77.778,48.040,2,3
3,30,20,80.395,57.093,2,2
4,30,21,85.930,63.449,2,1
5,30,26,75.972,68.170,3,0
6,30,15,76.793,38.392,5,2
7,30,16,75.305,45.715,2,1
8,30,6,78.256,19.080,4,1
9,30,14,72.084,39.914,2,2
