metric,value
elapsedSeconds,10.008
sentFrames,300
deliveredFrames,194
deliveredPercent,64.667
decodableFrames,180
decodablePercent,60.000
fpsSent,29.975
fpsDelivered,19.384
kbSentTotal,782.090
kbDeliveredTotal,501.384
goodputKbPerSec,50.097
avgFrameKb,2.607
droppedDatagrams,41
nackCount,62
pliCount,3
retransmittedFrames,40
latencyAvgMs,24.214
latencyP50Ms,0.492
latencyP95Ms,132.213
latencyP99Ms,166.909
latencyMaxMs,199.863
encodeAvgMs,0.730
encodeMaxMs,8.038
outOfOrderCount,0
maxGapMs,541.824
