second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,0.000,0,0
1,30,28,84.402,72.656,1,0
2,30,13,77.778,35.888,8,0
3,30,18,80.395,46.462,17,0
4,30,15,85.930,44.341,25,1
5,30,30,75.972,76.155,30,1
6,30,15,76.793,38.374,38,1
7,30,15,75.305,37.254,44,2
8,30,30,78.256,79.030,46,2
9,30,15,72.084,35.995,53,3
