sequence,frameType,bytes,encodeMs,latencyMs
281,Delta,2569,1.063,
282,Delta,1969,1.229,
283,Delta,1994,0.891,
284,Delta,1957,0.793,
285,Delta,2440,0.929,
286,Keyframe,9091,1.109,0.262
287,Delta,1540,0.849,0.201
288,Delta,2070,1.114,0.353
289,Delta,1729,0.601,109.494
290,Delta,1723,0.719,63.057
291,Delta,1925,0.598,31.389
292,Delta,2249,0.576,127.085
293,Delta,1923,1.065,95.185
294,Delta,1878,0.780,64.312
295,Delta,1979,0.812,32.691
296,Delta,2301,0.885,1.120
297,Delta,1837,0.789,0.183
298,Delta,1858,1.852,0.156
299,Delta,1804,0.713,0.216
300,Delta,2167,0.888,0.380
