sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,8.038,
2,Delta,1928,1.141,1.889
3,Delta,2537,0.763,0.369
4,Delta,2532,0.582,0.700
5,Delta,2315,0.646,0.230
6,Delta,2325,0.608,0.191
7,Delta,3291,0.615,0.320
8,Delta,2466,0.604,0.230
9,Delta,2523,0.729,0.571
10,Delta,2407,0.590,0.512
11,Delta,3125,0.628,0.649
12,Delta,2460,0.629,0.538
13,Delta,2471,0.717,0.768
14,Delta,2397,0.555,0.165
15,Delta,3043,0.566,0.188
16,Keyframe,10565,0.535,0.326
17,Delta,1572,0.586,0.181
18,Delta,2077,0.608,0.191
19,Delta,2214,0.671,0.243
20,Delta,2034,0.675,103.049
21,Delta,1989,0.718,70.006
22,Delta,2566,0.625,35.996
23,Delta,2094,0.601,2.552
24,Delta,2358,0.650,0.253
25,Delta,2332,0.815,0.201
26,Delta,2414,0.730,0.195
27,Delta,2205,0.550,0.179
28,Delta,2144,0.622,0.187
29,Delta,2016,0.526,0.239
30,Delta,2573,0.705,101.470
31,Keyframe,9455,0.570,
32,Delta,1488,0.608,
33,Delta,2418,0.780,
34,Delta,1951,0.682,
35,Delta,1799,0.642,
36,Delta,2062,0.590,
37,Delta,2477,0.627,
38,Delta,2008,0.703,
39,Delta,1815,0.631,
40,Delta,1814,0.585,
41,Delta,2462,0.634,
42,Delta,2004,0.651,
43,Delta,2091,0.809,
44,Delta,1929,0.697,
45,Delta,2523,0.601,
46,Keyframe,9777,0.627,2.089
47,Delta,1623,0.613,0.150
48,Delta,2186,0.652,0.156
49,Delta,2365,0.638,0.172
50,Delta,2120,0.575,0.134
51,Delta,2305,0.614,0.144
52,Delta,2678,0.683,0.123
53,Delta,2159,0.592,0.127
54,Delta,2085,0.703,0.219
55,Delta,2048,0.717,0.161
56,Delta,2571,0.602,0.150
57,Delta,2259,0.669,0.153
58,Delta,2171,0.685,133.018
59,Delta,2224,0.612,100.393
60,Delta,2725,0.720,134.114
61,Keyframe,9508,0.652,101.192
62,Delta,1625,0.633,68.126
63,Delta,2166,0.652,34.310
64,Delta,2267,0.881,0.660
65,Delta,2063,0.766,0.161
66,Delta,2079,0.638,0.182
67,Delta,2561,0.605,101.330
68,Delta,1931,0.615,67.684
69,Delta,2192,0.644,34.205
70,Delta,2226,0.646,0.381
71,Delta,2713,0.629,0.519
72,Delta,1939,0.619,0.465
73,Delta,2357,0.776,1.082
74,Delta,2216,0.677,0.451
75,Delta,2614,0.532,0.205
76,Keyframe,10128,0.667,
77,Delta,1448,0.541,
78,Delta,2317,0.681,
79,Delta,2116,0.788,
80,Delta,1997,0.612,
81,Delta,2011,0.639,
82,Delta,2677,0.610,
83,Delta,1975,0.682,
84,Delta,2204,0.708,
85,Delta,2182,0.619,
86,Delta,2781,0.678,
87,Delta,2031,0.558,
88,Delta,2062,0.579,
89,Delta,2383,0.604,
90,Delta,2853,0.577,
91,Keyframe,10210,0.685,0.656
92,Delta,1739,0.565,0.195
93,Delta,2475,0.692,0.768
94,Delta,2597,0.657,0.526
95,Delta,2251,0.626,0.170
96,Delta,2374,0.632,0.281
97,Delta,2947,0.596,0.165
98,Delta,2413,0.847,0.163
99,Delta,2423,0.637,0.492
100,Delta,2404,0.724,166.909
101,Delta,3048,0.669,132.213
102,Delta,2455,0.625,100.457
103,Delta,2665,0.708,65.222
104,Delta,2317,0.653,32.533
105,Delta,3087,0.665,0.385
106,Keyframe,10192,0.544,
107,Delta,1624,0.562,
108,Delta,2846,0.763,
109,Delta,2198,0.696,
110,Delta,2140,0.585,
111,Delta,2348,0.548,
112,Delta,2735,0.576,
113,Delta,2258,0.744,
114,Delta,2161,0.621,
115,Delta,2045,0.799,
116,Delta,2592,0.779,
117,Delta,2519,0.608,
118,Delta,2126,0.649,
119,Delta,2163,0.681,
120,Delta,3002,0.646,
121,Keyframe,9848,0.610,0.557
122,Delta,1575,0.556,0.161
123,Delta,2408,0.640,0.160
124,Delta,1900,0.751,0.653
125,Delta,1480,0.782,0.213
126,Delta,2129,0.656,0.492
127,Delta,3054,0.624,0.586
128,Delta,1794,0.566,0.196
129,Delta,1812,0.597,0.218
130,Delta,1826,0.579,101.335
131,Delta,3071,0.703,134.195
132,Delta,1862,0.576,101.262
133,Delta,1993,0.629,66.036
134,Delta,1827,0.591,33.224
135,Delta,2427,0.773,0.820
136,Keyframe,9506,0.657,0.218
137,Delta,1380,0.588,0.878
138,Delta,2431,0.770,0.725
139,Delta,1837,0.640,0.791
140,Delta,1908,0.555,0.171
141,Delta,1888,0.540,0.389
142,Delta,2751,0.671,0.542
143,Delta,2124,0.731,199.863
144,Delta,2114,0.640,166.124
145,Delta,2186,0.731,133.440
146,Delta,2675,0.610,99.967
147,Delta,2038,0.626,66.376
148,Delta,1830,0.644,32.708
149,Delta,1722,0.600,0.433
150,Delta,2587,0.586,0.137
151,Keyframe,9660,0.619,
152,Delta,1352,0.604,
153,Delta,2467,1.018,
154,Delta,1635,0.599,
155,Delta,1671,0.784,
156,Delta,2186,0.835,
157,Delta,2994,0.699,
158,Delta,1972,0.688,
159,Delta,2004,0.640,
160,Delta,1850,0.745,
161,Delta,2817,0.780,
162,Delta,1965,0.616,
163,Delta,1975,0.667,
164,Delta,1877,0.718,
165,Delta,2888,0.624,
166,Keyframe,9771,0.795,0.224
167,Delta,1381,0.676,0.197
168,Delta,2445,0.669,0.686
169,Delta,1922,0.603,0.598
170,Delta,1919,0.662,102.460
171,Delta,2066,0.630,69.529
172,Delta,2661,0.685,34.323
173,Delta,2132,1.018,1.932
174,Delta,1961,0.743,1.076
175,Delta,1968,0.913,0.792
176,Delta,2473,0.722,0.190
177,Delta,2028,0.924,0.224
178,Delta,1963,0.721,0.144
179,Delta,1968,0.589,0.467
180,Delta,2637,0.644,0.902
181,Keyframe,9688,0.892,0.709
182,Delta,1434,0.638,0.575
183,Delta,2561,0.790,0.496
184,Delta,1727,0.604,0.163
185,Delta,1677,0.670,0.142
186,Delta,1569,0.634,0.161
187,Delta,2329,0.718,0.159
188,Delta,2249,0.706,0.166
189,Delta,2120,0.683,133.479
190,Delta,2109,0.629,99.519
191,Delta,2449,0.621,66.744
192,Delta,1926,0.606,33.726
193,Delta,1713,0.643,0.367
194,Delta,2101,0.586,0.302
195,Delta,2496,0.686,0.474
196,Keyframe,10117,0.601,
197,Delta,1487,0.681,
198,Delta,2383,0.685,
199,Delta,1776,0.606,
200,Delta,1853,0.741,
201,Delta,1733,0.659,
202,Delta,2461,0.620,
203,Delta,1799,0.820,
204,Delta,1762,0.749,
205,Delta,2127,0.718,
206,Delta,2455,0.583,
207,Delta,2180,0.706,
208,Delta,1939,0.816,
209,Delta,1859,0.624,
210,Delta,2820,0.662,
211,Keyframe,9901,0.767,0.541
212,Delta,1324,0.639,0.424
213,Delta,2267,0.555,0.470
214,Delta,1817,0.681,0.540
215,Delta,1811,0.622,0.889
216,Delta,2418,0.668,0.972
217,Delta,2588,0.638,0.605
218,Delta,2539,0.620,0.136
219,Delta,2346,0.664,0.163
220,Delta,2201,0.716,101.532
221,Delta,2502,0.682,67.991
222,Delta,2097,0.647,34.578
223,Delta,2441,0.851,1.201
224,Delta,1837,0.767,0.317
225,Delta,2322,0.586,0.142
226,Keyframe,9660,0.732,0.334
227,Delta,1475,0.591,0.145
228,Delta,2580,0.693,0.491
229,Delta,2012,0.668,0.155
230,Delta,1986,0.591,0.454
231,Delta,2171,0.609,0.339
232,Delta,2777,0.584,133.933
233,Delta,2308,0.628,101.174
234,Delta,2460,0.736,67.582
235,Delta,2294,0.611,34.622
236,Delta,2458,0.627,1.132
237,Delta,1803,0.625,0.196
238,Delta,2289,0.658,0.168
239,Delta,2039,0.628,0.177
240,Delta,2204,0.553,0.408
241,Keyframe,9108,0.611,
242,Delta,1365,0.572,
243,Delta,2243,0.600,
244,Delta,1747,0.817,
245,Delta,1633,0.548,
246,Delta,2145,1.662,
247,Delta,2307,0.932,
248,Delta,2035,0.801,
249,Delta,1895,0.882,
250,Delta,1722,0.853,
251,Delta,2309,0.577,
252,Delta,2102,0.790,
253,Delta,1984,0.607,
254,Delta,1970,0.671,
255,Delta,2626,0.908,
256,Keyframe,8975,0.897,0.648
257,Delta,1717,0.980,1.100
258,Delta,2364,1.491,0.762
259,Delta,1792,0.933,0.279
260,Delta,1856,0.728,0.188
261,Delta,1797,0.755,0.243
262,Delta,2477,1.120,125.684
263,Delta,1886,1.066,94.111
264,Delta,1912,1.288,63.197
265,Delta,1950,0.769,32.425
266,Delta,2344,0.750,0.460
267,Delta,1895,0.649,0.144
268,Delta,1785,0.740,0.225
269,Delta,1906,0.956,0.158
270,Delta,2203,0.712,0.163
271,Keyframe,8872,1.167,
272,Delta,1769,0.984,
273,Delta,2297,0.742,
274,Delta,1728,0.716,
275,Delta,1711,0.698,
276,Delta,2062,0.781,
277,Delta,2598,0.705,
278,Delta,1912,1.190,
279,Delta,1932,0.714,
280,Delta,1943,0.670,
